question,answer,category
"Wifi quán tên gì, mật khẩu là gì?","Wifi miễn phí tên 'Highlands_FreeWifi', mật khẩu 'highlands123', áp dụng tại mọi chi nhánh.",Wifi
"Cho em hỏi wifi quán tên gì, mật khẩu là gì?","Wifi miễn phí tên 'Highlands_FreeWifi', mật khẩu 'highlands123', áp dụng tại mọi chi nhánh.",Wifi
"Anh/chị ơi, wifi quán tên gì, mật khẩu là gì?","Wifi miễn phí tên 'Highlands_FreeWifi', mật khẩu 'highlands123', áp dụng tại mọi chi nhánh.",Wifi
"Excuse me, Wifi quán tên gì, mật khẩu là gì?","Wifi miễn phí tên 'Highlands_FreeWifi', mật khẩu 'highlands123', áp dụng tại mọi chi nhánh.",Wifi
"Wifi quán tên gì, mật khẩu là gì? Cảm ơn shop.","Wifi miễn phí tên 'Highlands_FreeWifi', mật khẩu 'highlands123', áp dụng tại mọi chi nhánh.",Wifi
"Mình muốn biết wifi quán tên gì, mật khẩu là gì?","Wifi miễn phí tên 'Highlands_FreeWifi', mật khẩu 'highlands123', áp dụng tại mọi chi nhánh.",Wifi
"Xin hỏi wifi quán tên gì, mật khẩu là gì?","Wifi miễn phí tên 'Highlands_FreeWifi', mật khẩu 'highlands123', áp dụng tại mọi chi nhánh.",Wifi
"Không biết wifi quán tên gì, mật khẩu là gì? vậy ạ?","Wifi miễn phí tên 'Highlands_FreeWifi', mật khẩu 'highlands123', áp dụng tại mọi chi nhánh.",Wifi
"Wifi quán tên gì, mật khẩu là gì? (hỏi giúp bạn mình)","Wifi miễn phí tên 'Highlands_FreeWifi', mật khẩu 'highlands123', áp dụng tại mọi chi nhánh.",Wifi
"Làm ơn cho hỏi wifi quán tên gì, mật khẩu là gì?","Wifi miễn phí tên 'Highlands_FreeWifi', mật khẩu 'highlands123', áp dụng tại mọi chi nhánh.",Wifi
"Quán mở cửa mấy giờ, đóng cửa mấy giờ?","Quán mở cửa từ 6:30 sáng đến 22:00 mỗi ngày, kể cả cuối tuần và ngày lễ.",Giờ mở cửa
"Cho em hỏi quán mở cửa mấy giờ, đóng cửa mấy giờ?","Quán mở cửa từ 6:30 sáng đến 22:00 mỗi ngày, kể cả cuối tuần và ngày lễ.",Giờ mở cửa
"Anh/chị ơi, quán mở cửa mấy giờ, đóng cửa mấy giờ?","Quán mở cửa từ 6:30 sáng đến 22:00 mỗi ngày, kể cả cuối tuần và ngày lễ.",Giờ mở cửa
"Excuse me, Quán mở cửa mấy giờ, đóng cửa mấy giờ?","Quán mở cửa từ 6:30 sáng đến 22:00 mỗi ngày, kể cả cuối tuần và ngày lễ.",Giờ mở cửa
"Quán mở cửa mấy giờ, đóng cửa mấy giờ? Cảm ơn shop.","Quán mở cửa từ 6:30 sáng đến 22:00 mỗi ngày, kể cả cuối tuần và ngày lễ.",Giờ mở cửa
"Mình muốn biết quán mở cửa mấy giờ, đóng cửa mấy giờ?","Quán mở cửa từ 6:30 sáng đến 22:00 mỗi ngày, kể cả cuối tuần và ngày lễ.",Giờ mở cửa
"Xin hỏi quán mở cửa mấy giờ, đóng cửa mấy giờ?","Quán mở cửa từ 6:30 sáng đến 22:00 mỗi ngày, kể cả cuối tuần và ngày lễ.",Giờ mở cửa
"Không biết quán mở cửa mấy giờ, đóng cửa mấy giờ? vậy ạ?","Quán mở cửa từ 6:30 sáng đến 22:00 mỗi ngày, kể cả cuối tuần và ngày lễ.",Giờ mở cửa
"Quán mở cửa mấy giờ, đóng cửa mấy giờ? (hỏi giúp bạn mình)","Quán mở cửa từ 6:30 sáng đến 22:00 mỗi ngày, kể cả cuối tuần và ngày lễ.",Giờ mở cửa
"Làm ơn cho hỏi quán mở cửa mấy giờ, đóng cửa mấy giờ?","Quán mở cửa từ 6:30 sáng đến 22:00 mỗi ngày, kể cả cuối tuần và ngày lễ.",Giờ mở cửa
Highlands Coffee chi nhánh gần đây nhất ở đâu?,"Bạn có thể tra chi nhánh gần nhất qua app Highlands Coffee hoặc fanpage chính thức, có bản đồ chỉ đường.",Địa chỉ
Cho em hỏi highlands Coffee chi nhánh gần đây nhất ở đâu?,"Bạn có thể tra chi nhánh gần nhất qua app Highlands Coffee hoặc fanpage chính thức, có bản đồ chỉ đường.",Địa chỉ
